product_id,product_name,product_category,product_category_tree,image_urls,product_url
0,Gạc rơ lưỡi Đông FA 3 con nai hộp 5 cái,"Băng, gạc y tế","Thiết bị, dụng cụ y tế>>Bông gòn, băng gạc, găng tay>>Băng, gạc y tế",https://cdn.tgdd.vn/Products/Images/8758/130415/gac-ro-luoi-dong-pha-hinh-2.jpg***https://cdn.tgdd.vn/Products/Images/8758/130415/gac-ro-luoi-dong-pha-hinh-4.jpg***https://cdn.tgdd.vn/Products/Images/8758/130415/gac-ro-luoi-dong-pha-hinh-5.jpg***https://cdn.tgdd.vn/Products/Images/8758/130415/gac-ro-luoi-dong-pha-4.jpg,
1,"Nước muối Vietrue sát khuẩn, súc miệng chai 1000ml","Nước muối, dung dịch sát trùng","Thiết bị, dụng cụ y tế>>Nước muối, dung dịch sát trùng",https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-1-1.jpg***https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-1.jpg***https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-2.jpg***https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-3.jpg***https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-4.jpg***https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-5.jpg***https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-6.jpg***https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-7.jpg,
2,Khẩu trang y tế An Phúc 4 lớp màu xanh hộp 50 cái,Khẩu trang,"Thiết bị, dụng cụ y tế>>Khẩu trang",https://cdn.tgdd.vn/Products/Images/5872/237015/khau-trang-y-te-an-phuc-4-lop-hop-50-cai-1.jpg***https://cdn.tgdd.vn/Products/Images/5872/237015/khau-trang-y-te-an-phuc-4-lop-hop-50-cai-2.jpg***https://cdn.tgdd.vn/Products/Images/5872/237015/khau-trang-y-te-an-phuc-4-lop-hop-50-cai-3.jpg***https://cdn.tgdd.vn/Products/Images/5872/237015/khau-trang-y-te-an-phuc-4-lop-hop-50-cai-4.jpg***https://cdn.tgdd.vn/Products/Images/5872/237015/khau-trang-y-te-an-phuc-4-lop-hop-50-cai-6.jpg,
3,Que thử thai Quickstick One-step Pregnancy Test,"Que thử thai, rụng trứng","Thiết bị, dụng cụ y tế>>Que thử thai, rụng trứng",https://cdn.tgdd.vn/Products/Images/11300/131596/quickstick-2.jpg***https://cdn.tgdd.vn/Products/Images/11300/131596/quickstick-4.jpg***https://cdn.tgdd.vn/Products/Images/11300/131596/quickstick-5.jpg***https://cdn.tgdd.vn/Products/Images/11300/131596/quickstick-6.jpg***https://cdn.tgdd.vn/Products/Images/11300/131596/quickstick-7.jpg***https://cdn.tgdd.vn/Products/Images/11300/131596/quickstick-10.jpg,
4,Khẩu trang y tế An Phúc KF94-4D Care màu trắng gói 10 cái,Khẩu trang,"Thiết bị, dụng cụ y tế>>Khẩu trang",https://cdn.tgdd.vn/Products/Images/5872/272115/y-te-an-phuc-kf94-4d-goi-10-2.jpg***https://cdn.tgdd.vn/Products/Images/5872/272115/y-te-an-phuc-kf94-4d-goi-10-3.jpg***https://cdn.tgdd.vn/Products/Images/5872/272115/y-te-an-phuc-kf94-4d-goi-10-4.jpg,
5,Khẩu trang y tế Mask Care 4 lớp màu trắng hộp 50 cái,Khẩu trang,"Thiết bị, dụng cụ y tế>>Khẩu trang",https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-1.jpg***https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-3.jpg***https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-4.jpg***https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-5.jpg***https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-6.jpg***https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-7.jpg***https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-8.jpg,
6,"Nước muối Safin sát khuẩn, súc miệng chai 1000ml","Nước muối, dung dịch sát trùng","Thiết bị, dụng cụ y tế>>Nước muối, dung dịch sát trùng",https://cdn.tgdd.vn/Products/Images/3913/277026/nuoc-muoi-safin-1000ml-1.jpg***https://cdn.tgdd.vn/Products/Images/3913/277026/nuoc-muoi-safin-1000ml-2.jpg***https://cdn.tgdd.vn/Products/Images/3913/277026/nuoc-muoi-safin-1000ml-3.jpg***https://cdn.tgdd.vn/Products/Images/3913/277026/nuoc-muoi-safin-1000ml-4.jpg,
7,Băng cá nhân ít thấm nước Urgo Washproof Large (3.8 x 7.2cm) hộp 30 miếng,"Băng, gạc y tế","Thiết bị, dụng cụ y tế>>Bông gòn, băng gạc, găng tay>>Băng, gạc y tế",https://cdn.tgdd.vn/Products/Images/8758/131788/bang-ca-nhan-urgo-washproof-large-2.jpg***https://cdn.tgdd.vn/Products/Images/8758/131788/bang-ca-nhan-urgo-washproof-large-3.jpg***https://cdn.tgdd.vn/Products/Images/8758/131788/bang-ca-nhan-urgo-washproof-large-99.jpg,
8,"Miếng dán Tika-Patch giảm đau cơ, xương khớp gói 4 miếng","Miếng dán giảm đau, hạ sốt","Thiết bị, dụng cụ y tế>>Miếng dán giảm đau, hạ sốt",https://cdn.tgdd.vn/Products/Images/12181/201565/mieng-dan-con-ho-tika-patch-tiger-plaster-4-mieng-00.jpg***https://cdn.tgdd.vn/Products/Images/12181/201565/mieng-dan-con-ho-tika-patch-tiger-plaster-4-mieng-002.jpg***https://cdn.tgdd.vn/Products/Images/12181/201565/mieng-dan-con-ho-tika-patch-tiger-plaster-4-mieng-5.jpg***https://cdn.tgdd.vn/Products/Images/12181/201565/mieng-dan-con-ho-tika-patch-tiger-plaster-4-mieng-3.jpg***https://cdn.tgdd.vn/Products/Images/12181/201565/mieng-dan-con-ho-tika-patch-tiger-plaster-4-mieng-6.jpg,
9,Khẩu trang y tế Winer KF94 4D màu trắng gói 10 cái,Khẩu trang,"Thiết bị, dụng cụ y tế>>Khẩu trang",https://cdn.tgdd.vn/Products/Images/5872/276370/khau-trang-y-te-winer-kf94-4d-trang-g-10-cai-1-1.jpg***https://cdn.tgdd.vn/Products/Images/5872/276370/khau-trang-y-te-winer-kf94-4d-trang-g-10-cai-2-1.jpg***https://cdn.tgdd.vn/Products/Images/5872/276370/khau-trang-y-te-winer-kf94-4d-trang-g-10-cai-3-1.jpg***https://cdn.tgdd.vn/Products/Images/5872/276370/khau-trang-y-te-winer-kf94-4d-trang-g-10-cai-4-1.jpg,
