product_id,product_name,product_category,product_category_tree,image_urls,product_url
3669,Que thử rụng trứng Safefit Test dùng để xác định ngày rụng trứng (7 que),Thử thai,Thiết bị y tế>>Dụng cụ theo dõi>>Thử thai,https://cms-prod.s3-sgn09.fptcloud.com/DSC_02416_5c5a59d4e1.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02409_f8b0aa1f22.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02410_fbe0ba6dd2.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02412_77ecd63952.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02413_7939b4fc7c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02415_c5e70d76c0.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02414_cba44d2072.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02417_5aa6c3d96f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02418_0f99b77c65.jpg***https://cms-prod.s3-sgn09.fptcloud.com/safefit_test_que_1_f2fbc98e8f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/safefit_test_que_2_4ff8d5cf77.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/que-thu-rung-trung-safefit-test-hop-7-cai.html
3670,Bút thử thai nhanh Safefit cho kết quả nhanh với độ chính xác cao,Thử thai,Thiết bị y tế>>Dụng cụ theo dõi>>Thử thai,https://cms-prod.s3-sgn09.fptcloud.com/DSC_02426_df87a65394.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02420_37c31d7193.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02421_5aa83afc32.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02422_0fec72879f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02423_26c542661a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02424_c6ebaf6e2a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02425_196861d1bc.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02427_4be20c577a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_02428_773d3821bf.jpg***https://cms-prod.s3-sgn09.fptcloud.com/safefit_test_but_1_a3ef546b8b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/BUT_THU_THAI_NHANH_SAFEF_It_2_959a567399.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/but-thu-thai-nhanh-safefit.html
3671,"Dung dịch vệ sinh mũi Fujisat i-on 70ml giảm đau, nhức, sưng đỏ ",Dụng cụ vệ sinh mũi,Thiết bị y tế>>Dụng cụ y tế>>Dụng cụ vệ sinh mũi,https://cms-prod.s3-sgn09.fptcloud.com/7_93f8ded48c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/6_45865bd30a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/1_7f3684c830.jpg***https://cms-prod.s3-sgn09.fptcloud.com/2_831607b2dc.jpg***https://cms-prod.s3-sgn09.fptcloud.com/3_fb55225830.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_04652_c03d81d534.jpg***https://cms-prod.s3-sgn09.fptcloud.com/5_5c1fe04a3c.png***https://cms-prod.s3-sgn09.fptcloud.com/8_46a0644a76.jpg***https://cms-prod.s3-sgn09.fptcloud.com/9_98ed55d8b8.jpg***https://cms-prod.s3-sgn09.fptcloud.com/10_d772750630.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/dung-dich-xit-mui-nano-bac-ion-fujisalt-70-ml.html
3672,"Dung dịch nước muối ưu trương Fysoline 5ml giảm ngạt mũi, khô mũi (20 ống)",Dụng cụ vệ sinh mũi,Thiết bị y tế>>Dụng cụ y tế>>Dụng cụ vệ sinh mũi,https://cms-prod.s3-sgn09.fptcloud.com/DSC_01372_a70db4a126.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05209_874948892b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05191_08a2f73f34.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05193_ba3bdbcc02.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05198_334c5286b7.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05194_361261ecb5.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05201_88e31d2bce.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05218_9e76a22126.jpg***https://cms-prod.s3-sgn09.fptcloud.com/fysoline_1_62d0fd092b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/fysoline_2_c410e7c7a8.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/fysoline-hypertonique-solution-muoi-uu-truong-giam-ngat-mui-kho-mui-20-ong-x-5-ml.html
3673,"Marial Gel chống trào ngược dạ dày thực quản, bảo vệ, tái tạo và phục hồi niêm mạc họng (20 gói x 15ml)",Dụng cụ y tế,Thiết bị y tế>>Dụng cụ y tế,https://cms-prod.s3-sgn09.fptcloud.com/1_e712f7afcc.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05187_f1a2fbd49c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05179_4372c26bd5.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05180_6bff7b1df4.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05183_42041c04e9.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05182_1ce9f1e63b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05184_9f53f92041.jpg***https://cms-prod.s3-sgn09.fptcloud.com/smalls/DSC_05186_687fe24bdc.jpg***https://cms-prod.s3-sgn09.fptcloud.com/14897e7b8add218378cc_f648084207.jpg***https://cms-prod.s3-sgn09.fptcloud.com/e83f7ac88e6e25307c7f_5487cbb9b7.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/marial-gel-chong-trao-nguoc-da-day-thuc-quan-o-chua-kho-tieu-bao-ve-va-tai-tao-phuc-hoi-niem-mac-hong-20-goi-x-15-ml.html
3674,Kim Lancet lấy máu BL-28 (100 cái),Kim các loại,Thiết bị y tế>>Dụng cụ y tế>>Kim các loại,https://cms-prod.s3-sgn09.fptcloud.com/DSC_05221_ef378bb216.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05222_ea8280b6db.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05223_38696480a6.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05224_0cc8057057.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05225_a741a66956.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05227_f3e517d932.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05229_23f10b3f2b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/smalls/DSC_05232_f768eea4c5.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/kim-lay-mau-lancet-carefine-bl-28-g-100-cai.html
3675,Que thử thai nhanh Safefit Test (Hộp 1 que x 1 cốc nhựa),Thử thai,Thiết bị y tế>>Dụng cụ theo dõi>>Thử thai,https://cms-prod.s3-sgn09.fptcloud.com/DSC_00604_f120550fdd.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00605_eeef3eca23.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00606_3a2b09c8c2.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00607_4fedf35e77.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00608_1a0efd5ad4.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00609_577b326894.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00614_1664518193.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00612_200496ca19.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00613_84ecb98956.jpg***https://cms-prod.s3-sgn09.fptcloud.com/safefit_test_kit_1_7ea7a59657.jpg***https://cms-prod.s3-sgn09.fptcloud.com/safefit_test_kit_2_ffe9cf48d6.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/que-thu-thai-safefit-pregnancy-test-kit.html
3676,"Xịt họng Otosan Spray Forte hỗ trợ điều trị viêm họng cấp, viêm hô hấp, giảm đau rát họng (30ml)",Dụng cụ y tế,Thiết bị y tế>>Dụng cụ y tế,https://cms-prod.s3-sgn09.fptcloud.com/DSC_09131_aa6b76e0bb.jpg***https://cms-prod.s3-sgn09.fptcloud.com/spray_forte_cu_moi_6974f31917.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05328_eaedc40bcf.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09123_bc3fb88e92.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09125_c362f78d2a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09126_2600dfcbaf.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09127_c5840c259b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09128_1a3a2c6c8d.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09132_eeb51090db.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09133_9d4230cf7d.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09134_52864d7f52.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05315_81ce9537db.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05316_cc48973f0c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05323_df4844bbe5.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05319_0b22270fc7.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05324_3b22b3a099.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05325_1129712158.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_05329_332c1f9cc4.jpg***https://cms-prod.s3-sgn09.fptcloud.com/otosan_spray_forte_with_beta_glucans_3c9567e01c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/otosan_spray_forte_6f3c584a6b.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/xit-hong-otosan-forte-dieu-tri-viem-hong-cap-tinh-viem-ho-hap-giam-dau-rat-hong-30-ml.html
3677,"Gel điều trị sẹo phì đại, sẹo lồi và mờ thâm Urgo Scarform 7g",Dụng cụ y tế,Thiết bị y tế>>Dụng cụ y tế,https://cms-prod.s3-sgn09.fptcloud.com/DSC_03294_00b0ea875f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_03289_dc6809c797.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_03290_7bfdb4d569.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_03291_32e0bf58e1.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_03292_792a03629c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_03293_050a1b18a3.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_03293_050a1b18a3.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_03302_a6dc21c006.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_03299_bf07811af2.jpg***https://cms-prod.s3-sgn09.fptcloud.com/urgo_3d876e5dfc.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/urgo-scarform-gel-dieu-tri-seo-phi-dai-seo-loi-and-mo-tham-7-g.html
3678,Que thử đường huyết Nipro Premier (25 que),"Máy, que thử đường huyết","Thiết bị y tế>>Dụng cụ theo dõi>>Máy, que thử đường huyết",https://cms-prod.s3-sgn09.fptcloud.com/DSC_00456_fda7c62462.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00453_112041bbfe.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00448_c4f1864088.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00449_eff95645cd.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00450_1c7b83e548.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00451_27f94b7599.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00452_2512ab2aa5.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00455_b12a7b2d1e.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00457_4b7257baaa.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00458_65e8c240aa.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00459_42e480a7c4.jpg***https://cms-prod.s3-sgn09.fptcloud.com/nipro_premier_25_test_1_10607ac1dd.jpg***https://cms-prod.s3-sgn09.fptcloud.com/nipro_premier_25_test_2_d3b1e59166.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/que-do-duong-huyet-nipro-premier-hop-25-que.html
