product_id,product_name,product_category,product_category_tree,usage,specification,description,image_urls,product_url
2851,"Trà thảo dược Kamigan không đường 290ml thanh nhiệt, lợi tiểu, mát gan",Thực phẩm - Đồ uống,Chăm sóc cá nhân>>Thực phẩm - Đồ uống,"Trà thảo dược Kamigan không đường giúp thanh nhiệt, lợi tiểu, mát gan và mang lại cảm giác sảng khoái tự nhiên mỗi ngày.",Thùng 24 Chai,"Trà thảo dược Kamigan không đường là sự kết hợp giữa thảo dược thiên nhiên Cúc Hoa, Actiso và nước ion hóa theo công nghệ Nhật Bản, giúp thanh nhiệt, lợi tiểu, mát gan và mang lại cảm giác sảng khoái tự nhiên mỗi ngày. Sản phẩm không chứa đường, phù hợp cho người bị tiểu đường.",https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09470_86949a83ba.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09472_8b6f109711.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09473_301fa3cfc8.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09475_53d07fe17f.jpg,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/tra-thao-duoc-kamigan-290-ml-khong-duong.html
2852,"Trà thảo dược Kamigan 290ml thanh nhiệt, lợi tiểu, mát gan ",Thực phẩm - Đồ uống,Chăm sóc cá nhân>>Thực phẩm - Đồ uống,Trà thảo dược Kamigan giúp ,Thùng 24 Chai,"Trà thảo dược Kamigan là sự kết hợp giữa thảo dược thiên nhiên Cúc Hoa, Actiso và nước ion hóa theo công nghệ Nhật Bản, giúp thanh nhiệt, lợi tiểu, mát gan và mang lại cảm giác sảng khoái tự nhiên mỗi ngày.",https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09434_a0e28e9168.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09437_b0215c2df7.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09435_edf69ae26c.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09436_4fb3a97e52.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09438_5e43dffad2.jpg,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/tra-thao-duoc-kamigan-290-ml.html
2853,"Bột điện giải vị chanh dây Kamizol Sports Drink Powder 25g cung cấp năng lượng, chất điện giải cho cơ thể (5 gói)",Thực phẩm - Đồ uống,Chăm sóc cá nhân>>Thực phẩm - Đồ uống,Bột điện giải vị chanh dây Kamizol Sport Drink Powder giúp cung cấp năng lượng và các chất điện giải cho cơ thể.,Hộp 5 Gói,"Bột điện giải vị chanh dây Kamizol Sport Drink Powder giúp cung cấp năng lượng và các chất điện giải cho cơ thể. Sản phẩm phù hợp với người vận động với cường độ cao, người chơi thể thao hoặc làm việc trong môi trường nắng nóng. Người bị ốm sốt, tiêu chảy, nôn mửa cũng có thể sử dụng để bổ sung điện giải.",https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06452_66c43d8446.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06447_c44d605e02.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06448_01e271bbb3.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06449_84be4c69bb.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06450_75557d4532.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06451_6c548016ab.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06453_6dbab01d4f.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06454_79aa10c561.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/kamizol_15a650ffa3.jpg,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/bot-dien-giai-vi-chanh-day-kamizol-sport-drink-powder-5-goi-x-25-g.html
2854,"Miếng dán mụn ban ngày DermaAngel Plus hỗ trợ hút dịch mủ, làm lành vết thương nhanh chóng (12 miếng)",Vệ sinh cá nhân,Chăm sóc cá nhân>>Vệ sinh cá nhân, giúp:,Hộp 12 Miếng,"Miếng dán mụn ban ngày Derma Angel với công thức Hydrocolloid cao cấp hỗ trợ hút dịch mủ, làm lành vết thương nhanh chóng. Sản phẩm có thiết kế siêu mỏng 0.01 cm giúp che mờ nốt mụn, bảo vệ mụn khỏi các tác nhân ô nhiễm bên ngoài.",https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09926_86b0aa1b72.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09931_3287a83470.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09927_cd93d11f28.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09928_a4aeb83d2d.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09929_d430613e8c.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09930_0f4e2abb54.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09932_5e2e53ed12.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09933_1c3172da49.jpg,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/mieng-dan-mun-ban-ngay-derma-angel-plus-hop-12-mieng-1.html
2855,"Nước Yến Sào Cao Cấp Đông Trùng Hạ Thảo 15% bổ thận, chắc xương, bổ dưỡng sức khỏe (6 Lọ x 70ml)",Nước Yến,Chăm sóc cá nhân>>Thực phẩm - Đồ uống>>Nước Yến,Nước yến sào cao cấp Nunest đông trùng hạ thảo bổ dưỡng cho sức khoẻ với tổ yến 100% tự nhiên. ,Lốc 6 Hũ,"Nước yến sào cao cấp Nunest đông trùng hạ thảo là thực phẩm bổ dưỡng với tổ yến tự nhiên 100% cung cấp nhiều protein. Ngoài ra, Đông Trùng Hạ Thảo, vitamin K2 và Chondroitin trong sản phẩm giúp bổ thận, chắc xương.",https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08495_8950475c57.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08493_07965e3204.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08489_91f2470bba.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08490_6fd485280e.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08491_563f630374.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08492_0b9ed28785.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08496_a9540d8580.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08498_01ce3cbd4e.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08499_03a98f8cd4.jpg,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/nuoc-yen-sao-cao-cap-nunest-dong-trung-ha-thao-15-yen-6-hu-x-70-ml.html
2856,"Nước Yến Sào Cao Cấp Nunest Relax Đông Trùng Hạ Thảo bổ thận, tăng miễn dịch, giảm căng thẳng mệt mỏi (6 Chai x 185ml)",Nước Yến,Chăm sóc cá nhân>>Thực phẩm - Đồ uống>>Nước Yến,"Nước yến sào cao cấp Nunest Relax đông trùng hạ thảo là thực phẩm bổ dưỡng cho sức khoẻ với tổ yến 100% tự nhiên. Đông trùng hạ thảo giúp tăng cường miễn dịch, bổ thận, tăng cường sinh lực. Lactium đã được nghiên cứu lâm sàng giúp giảm stress, tăng chất lượng và hiệu quả giấc ngủ.",Lốc 6 Chai,"Nước yến sào cao cấp Nunest Relax đông trùng hạ thảo là thực phẩm bổ dưỡng cho sức khoẻ với tổ yến 100% tự nhiên. Sản phẩm còn chứa đông trùng hạ thảo giúp bổ thận, tăng miễn dịch và Lactium làm giảm căng thẳng mệt mỏi.",https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08470_b70a6edf67.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08483_f26c7b959a.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08463_3e81bf7733.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08464_fa2e7599d5.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08468_95900eabac.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08466_ed52444a59.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08467_2e185f9f53.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08473_f72eb3bb54.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08474_46bdb0f7f7.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08475_8984dd78ea.jpg,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/nuoc-yen-sao-cao-cap-nunest-relax-dong-trung-ha-thao-5-yen-6-chai-x-185-ml.html
2857,"Bọt vệ sinh phụ nữ Trầu Không Natural Feminine làm sạch, dưỡng ẩm, ngăn ngừa ngứa (160ml)",Dung dịch vệ sinh phụ nữ,Chăm sóc cá nhân>>Vệ sinh cá nhân>>Dung dịch vệ sinh phụ nữ,"Làm sạch, khử mùi hôi, vệ sinh vùng kín hằng ngày, đặc biệt thời kỳ kinh ra nhiều huyết trắng, thời kỳ kinh nguyệt, hậu sản, thai nghén.***Dưỡng ẩm, làm dịu da, bổ sung dưỡng chất giúp vùng kín mềm mại, mịn màng.***Ngăn ngừa thâm sạm, khô rát.***Ngăn ngừa tình trạng kích ứng, vi khuẩn, nấm gây ra ngứa, viêm nhiễm phụ khoa.",Hộp x 160ml,Dung dịch vệ sinh phụ nữ trầu không Natural Feminine được thiết kế dưới dạng xịt bọt mịn,https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00638_12f43e3f05.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00635_826c426fac.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00628_d86a177475.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00629_4c0a0b80c3.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00631_faac8665f9.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00633_6972511509.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00634_7088e1a902.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00639_951ecf2237.jpg,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/dung-dich-ve-sinh-phu-nu-dang-bot-natural-feminine-la-trau-khong-160-ml.html
2858,"Trà Cà Gai Leo Kami tea hỗ trợ các bệnh về gan, giải độc gan, giảm men gan (20 túi)",Trà thảo dược,Chăm sóc cá nhân>>Thực phẩm - Đồ uống>>Trà thảo dược,"Trà Cà Gai Leo Kami tea hỗ trợ ***Giúp hỗ trợ giải độc gan, giảm ",Hộp 20 Túi,"Trà Cà Gai Leo Kami tea với thành phần từ thảo dược thiên nhiên là sản phẩm giúp hỗ trợ các bệnh về gan, hỗ trợ giải độc gan, giảm men gan hiệu quả.",https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00495_f1cb115454.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00496_dc9992d8ab.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00497_4a3045cbea.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00498_90be5bd615.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00499_ea6a3a9555.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00503_f87d50694e.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00501_9b460f6761.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00502_f745c9e55c.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/tra_ca_gai_leo_6efc93a5f3.jpg,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/tra-thao-duoc-ca-gai-leo-kami-tea-20-tui-loc-x-2-g.html
2859,"Dầu Húng Chanh Lábebé hỗ trợ lợi phế trừ đờm, giảm ho (30ml)",Tinh dầu các loại,Chăm sóc cá nhân>>Tinh dầu các loại,"Dầu Húng Chanh Lábebé hỗ trợ lợi phế trừ đờm, giảm ho.",Hộp x 30ml,"Dầu Húng Chanh Lábebé hỗ trợ lợi phế trừ đờm, giảm ho. Thành phần chứa các thảo dược thiên nhiên an toàn và lành tính với người dùng như húng chanh, quả cơm cháy, quế, bạc hà, gừng. Sản phẩm dùng được cho trẻ sơ sinh từ 1 tháng tuổi, trẻ nhỏ, phụ nữ mang thai và cho con bú.",https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09754_782bfebbbf.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09752_6c8f602dba.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09747_879634aaf2.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09748_ccba04a998.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09749_eb73385cd2.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09750_b630f67768.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00560_d4be882630.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09755_802626cbdb.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/z4707213835137_6344dc803052f533a8a47b6d86eb380a_4189c2401f.jpg,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/dau-hung-chanh-ho-tro-loi-phe-tru-dom-giam-ho-labebe-30-ml.html
2860,"Cao đuổi muỗi Ola Papi hỗ trợ phòng cảm lạnh và tránh gió, giảm sưng tấy khi bị côn trùng đốt (20g)",Chống muỗi &amp; côn trùng,Chăm sóc cá nhân>>Đồ dùng gia đình>>Chống muỗi &amp; côn trùng,"Cao Đuổi Muỗi Ola Papi hỗ trợ phòng cảm lạnh, tránh gió.***Giảm sưng tấy khi bị côn trùng đốt.***Xua đuổi muỗi hiệu quả.***Giúp giữ ấm cơ thể.",Hộp,"Cao Đuổi Muỗi Ola Papi hỗ trợ phòng cảm lạnh và tránh gió, giảm sưng tấy khi bị côn trùng đốt, xua đuổi muỗi hiệu quả và giúp giữ ấm cơ thể. Sản phẩm an toàn cho trẻ nhỏ từ 3 tháng tuổi, mẹ bầu và phụ nữ sau sinh.",https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00044_9aaad4e788.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00042_f7b1ac87f4.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00050_8a1680e1d5.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00036_45581c22c4.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00037_86384aa3ec.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00038_447888eb0c.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00039_47d04363c7.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00040_b4c66abf0c.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00041_b78cbc52ad.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00051_fa94727175.jpg,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/cao-duoi-muoi-cho-be-giam-sung-tay-do-con-trung-dot-ola-papi-20-g.html
