product_name	price	category_lv1	category_lv2	category_lv3	product_code	packaging	effect	image	describe
Gạc rơ lưỡi Đông FA 3 con nai hộp 5 cái	2.000₫	Thiết bị, dụng cụ y tế	Bông gòn, băng gạc, găng tay	Băng, gạc y tế	130415	5 cái	Vệ sinh làm sạch lưỡi, răng miệng cho em bé.	['https://cdn.tgdd.vn/Products/Images/8758/130415/gac-ro-luoi-dong-pha-hinh-2.jpg', 'https://cdn.tgdd.vn/Products/Images/8758/130415/gac-ro-luoi-dong-pha-hinh-4.jpg', 'https://cdn.tgdd.vn/Products/Images/8758/130415/gac-ro-luoi-dong-pha-hinh-5.jpg', 'https://cdn.tgdd.vn/Products/Images/8758/130415/gac-ro-luoi-dong-pha-4.jpg']	Đối với những gia đình có bé nhỏ, ba mẹ nên trang bị sẵn trong tủ thuốc gia đình mình các loại thiết bị, dụng cụ y tế cần thiết như nhiệt kế, băng gạc, gạc rơ lưỡi, băng cá nhân,... để có thể sử dụng ngay khi cần dùng đến. Gạc rơ lưỡi Đông Fa được sản xuất bằng công nghệ tiên tiến giúp vệ sinh, làm sạch lưỡi, răng miệng cho bé, bảo vệ sức khỏe cho bé yêu nhà bạn. Thành phần 100% Cotton. Công dụng Vệ sinh làm sạch lưỡi, răng miệng cho em bé. Cách dùng Rửa tay sạch băng xà phòng. Cho nhẹ tay vào miếng gạc. Nhúng gạc vào nước ấm. Rơ nhẹ nhàng quanh lưỡi bé.
Nước muối Vietrue sát khuẩn, súc miệng chai 1000ml	12.000₫	Thiết bị, dụng cụ y tế	Nước muối, dung dịch sát trùng		302411	1000ml	Vệ sinh mũi họng hàng ngày đồng thời làm sạch răng, đánh bay mùi hôi miệng.	['https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-1-1.jpg', 'https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-1.jpg', 'https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-2.jpg', 'https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-3.jpg', 'https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-4.jpg', 'https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-5.jpg', 'https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-6.jpg', 'https://cdn.tgdd.vn/Products/Images/3913/302411/nuoc-muoi-sinh-ly-vietrue-1000ml-7.jpg']	Thành phần Nước muối sinh lý Vietrue 1000ml gồm: Natri clorid: 9g. Nước tinh khiết: vừa đủ. Công dụng Nước muối Natri Clorid 0,9%  có tác dụng sát khuẩn và an toàn cho mọi lứa tuổi. Phòng chống các bệnh răng miệng: viêm chân răng, viêm lợi, viêm họng, viêm amidan. Nước muối sinh lý rửa sát trùng vết thương ngoài da và những vết loét ở miệng. Rửa mặt, mắt, mũi, tai và các vết mẩn ngứa dị ứng. Đặc biệt sau khi tham gia giao thông và làm việc ở môi trường khói, bụi, hóa chất. Cách dùng Đổ dung dịch ra ly, dùng làm nước đánh răng hàng ngày.
Khẩu trang y tế An Phúc 4 lớp màu xanh hộp 50 cái	35.000₫	Thiết bị, dụng cụ y tế	Khẩu trang		237015	50 cái	Ngăn ngừa vi khuẩn, bụi bẩn và các bệnh lây qua đường hô hấp nhờ lớp vải lọc cao cấp.	['https://cdn.tgdd.vn/Products/Images/5872/237015/khau-trang-y-te-an-phuc-4-lop-hop-50-cai-1.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/237015/khau-trang-y-te-an-phuc-4-lop-hop-50-cai-2.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/237015/khau-trang-y-te-an-phuc-4-lop-hop-50-cai-3.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/237015/khau-trang-y-te-an-phuc-4-lop-hop-50-cai-4.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/237015/khau-trang-y-te-an-phuc-4-lop-hop-50-cai-6.jpg']	Đặc điểm sản phẩm Khẩu trang y tế An Phúc màu xanh đạt hiệu quả cao ngăn ngừa vi khuẩn, bụi bẩn và các bệnh lây qua đường hô hấp nhờ lớp vải lọc cao cấp. Nguyên liệu vải không dệt sạch, dày mịn, dễ thở. Thiết kế thông minh với thanh nẹp mũi định hình giữ khẩu trang. Khẩu trang An Phúc được sản xuất tại Việt Nam với dây chuyền công nghệ khép kín. Không thấm nước. Thông số kỹ thuật Khẩu trang 4 lớp. Kích thước (± 2mm): 175 x 95mm. Chiều dài dây đeo: 150 - 170mm Hướng dẫn sử dụng
Que thử thai Quickstick One-step Pregnancy Test	25.000₫	Thiết bị, dụng cụ y tế	Que thử thai, rụng trứng		131596	1 que		['https://cdn.tgdd.vn/Products/Images/11300/131596/quickstick-2.jpg', 'https://cdn.tgdd.vn/Products/Images/11300/131596/quickstick-4.jpg', 'https://cdn.tgdd.vn/Products/Images/11300/131596/quickstick-5.jpg', 'https://cdn.tgdd.vn/Products/Images/11300/131596/quickstick-6.jpg', 'https://cdn.tgdd.vn/Products/Images/11300/131596/quickstick-7.jpg', 'https://cdn.tgdd.vn/Products/Images/11300/131596/quickstick-10.jpg']	Đặc điểm sản phẩm Que thử thai Quickstick One-step Pregnancy Test là một trong thiết bị, dụng cụ y tế có thể phát hiện thai từ 7 đến 10 ngày sau khi giao hợp. Có thể sử dụng bất cứ lúc nào, nhưng tốt nhất nên lấy nước tiểu để thử vào lúc sáng sớm sau khi thức dậy. Mỗi que thử thai QuicksTick chỉ sử dụng một lần duy nhất. Phụ kiện kèm theo QuicksTick như: vỏ hộp, chén nhựa và giấy hướng dẫn sử dụng được gia công tại Việt Nam. QuicksTick - Dụng cụ thử thai nhanh được Công ty PHAMATECH sản xuất tại Hoa Kỳ. Hướng dẫn sử dụng 1. Lấy nước tiểu vào trong ly. 2. Xé bao nhôm đựng que thử thai QuicksTick 3. Cầm QuicksTick trên tay theo hướng mũi tên chỉ xuống.
Khẩu trang y tế An Phúc KF94-4D Care màu trắng gói 10 cái	20.000₫	Thiết bị, dụng cụ y tế	Khẩu trang		272115	10 cái	Ngăn ngừa vi khuẩn, bụi bẩn và các bệnh lây qua đường hô hấp nhờ lớp vải lọc cao cấp.	['https://cdn.tgdd.vn/Products/Images/5872/272115/y-te-an-phuc-kf94-4d-goi-10-2.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/272115/y-te-an-phuc-kf94-4d-goi-10-3.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/272115/y-te-an-phuc-kf94-4d-goi-10-4.jpg']	Đặc điểm sản phẩm Khẩu trang y tế An Phúc KF94-4D Care màu trắng đạt hiệu quả cao: ngăn ngừa vi khuẩn, bụi bẩn và các bệnh lây qua đường hô hấp nhờ lớp vải bọc cao cấp. Nguyên liệu vải không dệt sạch, dày mịn, dễ thở. Khẩu trang An Phúc có lớp lọc kháng khuẩn được chứng nhận bởi Nelson Labs (Hoa Kỳ) và SGS  Thiết kế thông minh với thanh nẹp mũi định hình giữ khẩu trang. Được sản xuất tại Việt Nam với dây chuyền công nghệ khép kín. Không thấm nước. Thành phần  vải không dệt sạch, dày mịn; lớp lọc kháng khuẩn; nẹp mũi; dây đeo. Thông số sản phẩm: - Kích thước: 115 - 195 mm
Khẩu trang y tế Mask Care 4 lớp màu trắng hộp 50 cái	35.000₫	Thiết bị, dụng cụ y tế	Khẩu trang		283254	50 cái	Phòng dịch, chống bụi và bảo vệ đường hô hấp.	['https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-1.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-3.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-4.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-5.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-6.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-7.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/283254/khau-trang-y-te-mask-care-4-lop-trang-hop-50-cai-8.jpg']	Đặc điểm sản phẩm Khẩu trang y tế Mask Care 4 lớp màu trắng là sản phẩm thuộc thương hiệu Samaki Power- doanh nghiệp hàng đầu chuyên về sản xuất và phân phối các dòng khẩu trang y tế chất lượng cao. Khẩu trang Samaki Power luôn được kiểm soát nghiêm ngặt từ chất lượng cho đến bao bì thành phẩm, đạt chứng nhận FDA Hoa Kỳ dành cho khẩu trang y tế. Thành phần Lớp 1: Lớp vải không dệt định lượng 25 - 30gsm. Lớp 2: Lớp vải không dệt, không hút nước định lượng 25gsm. Lớp 3: Giấy kháng khuẩn đạt tiêu chuẩn BFE ≥ 97%. Lớp 4:  Lớp vi lọc định lượng 30gsm. Dây đeo: dây thun mềm. Có độ đàn hồi, được may tại 4 góc của khẩu trang. Thanh nẹp mũi: 100% nhựa PVC nguyên chất.
Nước muối Safin sát khuẩn, súc miệng chai 1000ml	12.000₫	Thiết bị, dụng cụ y tế	Nước muối, dung dịch sát trùng		277026	1000ml	Phòng các bệnh răng miệng; rửa mặt, vệ sinh khoang mũi họng và ngoài da.	['https://cdn.tgdd.vn/Products/Images/3913/277026/nuoc-muoi-safin-1000ml-1.jpg', 'https://cdn.tgdd.vn/Products/Images/3913/277026/nuoc-muoi-safin-1000ml-2.jpg', 'https://cdn.tgdd.vn/Products/Images/3913/277026/nuoc-muoi-safin-1000ml-3.jpg', 'https://cdn.tgdd.vn/Products/Images/3913/277026/nuoc-muoi-safin-1000ml-4.jpg']	Thành phần Nước muối Safin 1 lít gồm: Natri Clorid 0,9%, Nước 99,1% Công dụng Nước muối sinh lý phòng các bệnh răng miệng; rửa mặt, vệ sinh khoang mũi họng và ngoài da. Cách dùng - liều dùng - Ngậm 20 - 30ml dung dịch không pha loãng, súc miệng khoảng 30 - 60s rồi nhổ đi. - Dùng bông sạch thấm đều dung dịch, lau rửa nhẹ nhàng, loại bỏ bụi bẩn, bã nhờn trên da mặt. - Dùng hàng ngày để vệ sinh khoang mũi họng hoặc các vết thương hở, vết mẩn ngứa, dị ứng. Đối tượng sử dụng Thích hợp với mọi đối tượng trẻ em và người lớn, không dùng cho trẻ sơ sinh.
Băng cá nhân ít thấm nước Urgo Washproof Large (3.8 x 7.2cm) hộp 30 miếng	54.000₫	Thiết bị, dụng cụ y tế	Bông gòn, băng gạc, găng tay	Băng, gạc y tế	131788	30 miếng		['https://cdn.tgdd.vn/Products/Images/8758/131788/bang-ca-nhan-urgo-washproof-large-2.jpg', 'https://cdn.tgdd.vn/Products/Images/8758/131788/bang-ca-nhan-urgo-washproof-large-3.jpg', 'https://cdn.tgdd.vn/Products/Images/8758/131788/bang-ca-nhan-urgo-washproof-large-99.jpg']	Trong tủ thuốc gia đình của mỗi nhà cần nên có các loại thiết bị, dụng cụ y tế cần thiết như nhiệt kế, máy đo huyết áp, máy đo đường huyết, bông gòn, băng gạc, băng cá nhân,... để có thể sử dụng ngay khi cần dùng đến. Đặc điểm sản phẩm Băng: Polyethylene hợp màu da, lỗ thông lớn. Gạc: Màu trắng phủ bởi lớp lưới polyethylene không gây dính. Được đựng trong từng bao riêng. Băng cá nhân ít thấm nước Urgo Washproof Large thông thoáng, độ dính cao, ít thấm nước, co giãn tốt, giúp bảo vệ sác vết thương nhỏ, vết trầy xước, rách da, vết kim đâm. Hướng dẫn sử dụng Vệ sinh, sát khuẩn, rửa sạch và lau khô nhẹ nhàng vết thương và khu vực xung quanh vết thương. Dán băng cá nhân, vuốt nhẹ mép miếng băng.
Miếng dán Tika-Patch giảm đau cơ, xương khớp gói 4 miếng	11.000₫	Thiết bị, dụng cụ y tế	Miếng dán giảm đau, hạ sốt		201565	4 miếng	Giảm đau do bong gân, đau cơ.	['https://cdn.tgdd.vn/Products/Images/12181/201565/mieng-dan-con-ho-tika-patch-tiger-plaster-4-mieng-00.jpg', 'https://cdn.tgdd.vn/Products/Images/12181/201565/mieng-dan-con-ho-tika-patch-tiger-plaster-4-mieng-002.jpg', 'https://cdn.tgdd.vn/Products/Images/12181/201565/mieng-dan-con-ho-tika-patch-tiger-plaster-4-mieng-5.jpg', 'https://cdn.tgdd.vn/Products/Images/12181/201565/mieng-dan-con-ho-tika-patch-tiger-plaster-4-mieng-3.jpg', 'https://cdn.tgdd.vn/Products/Images/12181/201565/mieng-dan-con-ho-tika-patch-tiger-plaster-4-mieng-6.jpg']	Thành phần Menthol, long não, eucalyptol, tinh chất ớt, menthyl salicylate, hot melt adhesive, lanolin, dầu farafin, zinc oxide, tinh dầu thơm. Công dụng Miếng dán Tika-Patch hỗ trợ giảm đau trong cách trường hợp bong gân, đau vai, đau cơ, đau lưng,.. Hướng dẫn sử dụng Làm sạch và khô vùng da cần dán, gỡ miếng film ra khỏi miếng dán, dán mặt dính lên vùng da sạch và khô nơi muốn dán như: lưng, vai, cơ bắp,... Có thể cắt nhỏ miếng dán theo kích thước cần dùng. Chỉ sử dụng ngoài da. Mỗi miếng dán chỉ sử dụng trong 12 giờ. Không được dán quá 2 lần trong một ngày cùng một chỗ. Phụ nữ mang thai phải hỏi ý kiến bác sĩ. Không dán liên tục trong vòng 10 ngày.
Khẩu trang y tế Winer KF94 4D màu trắng gói 10 cái	20.000₫	Thiết bị, dụng cụ y tế	Khẩu trang		276370	10 cái	Ngăn ngừa bụi bẩn, khí độc, mùi hôi và ô nhiễm.	['https://cdn.tgdd.vn/Products/Images/5872/276370/khau-trang-y-te-winer-kf94-4d-trang-g-10-cai-1-1.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/276370/khau-trang-y-te-winer-kf94-4d-trang-g-10-cai-2-1.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/276370/khau-trang-y-te-winer-kf94-4d-trang-g-10-cai-3-1.jpg', 'https://cdn.tgdd.vn/Products/Images/5872/276370/khau-trang-y-te-winer-kf94-4d-trang-g-10-cai-4-1.jpg']	Thành phần Khẩu trang vải không dệt. Vải chất lượng cao, quai đeo, thanh nẹp mũi. Công dụng Khẩu trang TH Care kháng khuẩn. Chống nắng, giảm thiểu tia UV bảo vệ da. Khẩu trang y tế ôm vừa khuôn mặt, cảm giác thoải mái và không bí da. Hướng dẫn sử dụng - Kéo khẩu trang sang 2 bên. - Giữ 2 dây đeo bằng tay và kéo sang 2 bên, áp sát vào mặt. - Điều chỉnh thanh nẹp mũi sao cho khít với khuôn mặt. - Định hình lại chiếc khẩu trang sao cho vừa vặn.
